feature,importance,rank
text__electronic,1.3549030406694988,769
text__send screenshot,1.3541791718843081,770
text__account low,1.3532999514321713,771
text__account withholding,1.3532098605971679,772
text__changed policy,1.3531780295000437,773
text__support payment,1.3529652500963412,774
text__day thursday,1.35277478777516,775
text__buy new,1.3522092233269711,776
text__causing hardship,1.351911511165867,777
text__reconciling,1.3517648744006132,778
text__just having,1.3517034583909517,779
text__higher level,1.3516622133075535,780
text__email customer,1.351655990091082,781
text__said scam,1.3514529582476291,782
text__dispute file,1.3511128871167586,783
text__online receive,1.3508483247765097,784
text__deposits social,1.3508448117661602,785
text__unauthorized charged,1.3506464842463048,786
text__branch immediately,1.3505866972286544,787
text__fees savings,1.3504296165033012,788
text__reimbursed account,1.3504263920147077,789
text__frozen explanation,1.3503856691767755,790
text__year confirmed,1.3501216432674363,791
text__hacked chime,1.3491434450368776,792
text__balance attempted,1.3488780785386174,793
text__agent advised,1.3487994660958402,794
text__capital responded,1.3484489644621207,795
text__merchandize,1.3483761396117857,796
text__account denying,1.3483756065543142,797
